Date,price
Oct-94,1447.960952
Nov-94,1436.980455
Dec-94,1399.390476
Jan-95,1468.818095
Feb-95,1510.4375
Mar-95,1484.936087
Apr-95,1469.196842
May-95,1445.352727
Jun-95,1437.17
Jul-95,1364.013333
Aug-95,1412.977826
Sep-95,1396.902381
Oct-95,1394.58
Nov-95,1436.559091
Dec-95,1378.81
Jan-96,1349.541364
Feb-96,1369.839524
Mar-96,1338.600952
Apr-96,1456.279524
May-96,1524.020455
Jun-96,1537.5725
Jul-96,1495.68
Aug-96,1499.883182
Sep-96,1476.279048
Oct-96,1476.980435
Nov-96,1469.277143
Dec-96,1474.384
Jan-97,1428.479545
Feb-97,1372.742
Mar-97,1523.6395
Apr-97,1571.009545
May-97,1568.295714
Jun-97,1688.334762
Jul-97,1677.266522
Aug-97,1652.121429
Sep-97,1769.745
Oct-97,1741.384348
Nov-97,1694.7575
Dec-97,1737.240476
Jan-98,1668.147
Feb-98,1640.835
Mar-98,1719.212273
Apr-98,1726.495238
May-98,1794.4185
Jun-98,1721.893636
Jul-98,1712.225217
Aug-98,1683.684762
Sep-98,1687.315455
Oct-98,1646.429091
Nov-98,1594.905714
Dec-98,1514.846364
Jan-99,1455.232
Feb-99,1408.4655
Mar-99,1313.243913
Apr-99,1186.159524
May-99,1062.5645
Jun-99,1161.833182
Jul-99,1113.393636
Aug-99,1056.377273
Sep-99,1061.375909
Oct-99,1021.48619
Nov-99,922.4631818
Dec-99,918.675
Jan-00,917.7138095
Feb-00,859.1252381
Mar-00,932.8795652
Apr-00,911.3642105
May-00,908.8640909
Jun-00,941.5709091
Jul-00,936.6861905
Aug-00,877.8769565
Sep-00,883.1228571
Oct-00,878.1218182
Nov-00,800.8704545
Dec-00,803.591
01-Jan,966.5813636
01-Feb,1156.9375
01-Mar,1124.405909
01-Apr,1081.6155
01-May,1079.626364
01-Jun,972.1533333
01-Jul,967.1122727
01-Aug,1034.106087
01-Sep,1019.7765
01-Oct,1084.778261
01-Nov,1240.826364
01-Dec,1336.789412
02-Jan,1384.216364
02-Feb,1491.7755
02-Mar,1592.0285
02-Apr,1569.287727
02-May,1605.28913
02-Jun,1658.655
02-Jul,1868.595217
02-Aug,1960.468182
02-Sep,2163.937143
02-Oct,2205.262174
02-Nov,1814.065238
02-Dec,2022.724
03-Jan,2184.728182
03-Feb,2239.265
03-Mar,1994.719048
03-Apr,1927.677143
03-May,1749.724762
03-Jun,1579.109048
03-Jul,1560.313043
03-Aug,1571.447619
03-Sep,1631.584091
03-Oct,1481.934348
03-Nov,1511.034
03-Dec,1627.280952
04-Jan,1624.281905
04-Feb,1569.1245
04-Mar,1504.426522
04-Apr,1437.350952
04-May,1413.747
04-Jun,1407.965909
04-Jul,1559.470455
04-Aug,1729.215
04-Sep,1540.288636
04-Oct,1484.71381
04-Nov,1662.226818
04-Dec,1648.544348
05-Jan,1549.133333
05-Feb,1634.5985
05-Mar,1757.591818
05-Apr,1585.950476
05-May,1511.394286
05-Jun,1539.072273
05-Jul,1489.01
05-Aug,1481.93087
05-Sep,1504.156364
05-Oct,1452.546667
05-Nov,1433.965455
05-Dec,1517.609048
06-Jan,1577.782857
06-Feb,1545.0745
06-Mar,1544.133043
06-Apr,1552.373684
06-May,1594.454545
06-Jun,1606.645909
06-Jul,1676.655238
06-Aug,1610.787391
06-Sep,1567.421429
06-Oct,1529.627273
06-Nov,1581.18
06-Dec,1702.503
07-Jan,1701.989545
07-Feb,1813.8775
07-Mar,1924.202273
07-Apr,1977.1995
07-May,2004.837727
07-Jun,2016.692381
07-Jul,2152.645909
07-Aug,1902.093043
07-Sep,1938.0815
07-Oct,1914.684348
07-Nov,1966.837727
07-Dec,2113.1305
08-Jan,2215.851364
08-Feb,2523.073333
08-Mar,2670.4055
08-Apr,2628.33
08-May,2689.620476
08-Jun,3021.76
08-Jul,2953.682174
08-Aug,2810.470952
08-Sep,2678.963182
08-Oct,2252.276522
08-Nov,2067.723
08-Dec,2457.085455
09-Jan,2626.005238
09-Feb,2647.586
09-Mar,2509.972273
09-Apr,2555.16619
09-May,2480.7365
09-Jun,2700.364091
09-Jul,2791.352609
09-Aug,2956.665238
09-Sep,3142.863636
09-Oct,3372.502273
09-Nov,3384.13
09-Dec,3497.585
10-Jan,3525.123
10-Feb,3276.5465
10-Mar,3089.646087
10-Apr,3221.237619
10-May,3178.4855
10-Jun,3230.831818
10-Jul,3229.546364
10-Aug,3071.713636
10-Sep,2874.929545
10-Oct,2927.456667
10-Nov,2910.310455
10-Dec,3060.02087
11-Jan,3164.863
11-Feb,3472.27
11-Mar,3392.966957
11-Apr,3134.367
11-May,3070.764286
11-Jun,3015.638636
11-Jul,3167.18381
11-Aug,3064.308261
11-Sep,2873.884091
11-Oct,2680.043333
11-Nov,2527.426364
11-Dec,2196.845238
